序列,统计区间,完整五帧窗数,整窗未见异常比例,00001比例,异常逐点距离P50（米）,范围内异常点数P50（含零帧）,可见实例数P50,可见水平长边P50（米）,可见水平短边P50（米）,可见竖向跨度P50（米）,正常强度P50,异常强度P50,异常精确网格比例,同实例最近邻距P50（米）,道路占正常点比例,历史可见扫描数P50,五帧平移P50（米）,五帧旋转P50（弧度）,联合异常体素含正常比例,联合异常体素含忽略比例,当前异常体素历史新增正常比例,当前异常压缩比P50,历史增加异常体素数P50,当前异常体素均值位移P50（米；区间中点）,状态与缺失说明
125,静态0至254；窗口4至254,251,0.1593625498007968,0.00398406374501992,5.62890100479126,45.0,1.0,0.8046765327453613,0.7117271721363068,0.5987980961799622,0.18942856788635254,0.035999998450279236,1.0,0.035915888403096584,1.0,4.0,0.5149636557702676,0.01407116332757574,0.02868580189080998,0.0017715697129716379,0.01912289648138705,1.0081967213114753,118.0,0.00625,已完成；尺寸/地面/邻域可靠性见全量统计；无可靠时间戳
137,静态0至559；窗口4至559,556,0.6474820143884892,0.012589928057553957,8.009629249572754,0.0,0.0,0.2793850898742676,0.2508840560913086,0.1167137622833252,0.248285710811615,0.15285713970661163,1.0,0.05104274363519814,0.13191598380440467,0.0,2.1454951706486916,0.011463928351655857,0.06951871657754011,0,0.045563549160671464,1.0,0.0,0.00625,已完成；尺寸/地面/邻域可靠性见全量统计；无可靠时间戳
138,静态0至515；窗口4至515,512,0.638671875,0.009765625,8.58346176147461,0.0,0.0,0.6080846786499023,0.16560745239257812,0.171425461769104,0.2394285649061203,0.2174285650253296,1.0,0.05358776742745345,0.9429194076418341,0.0,2.0455952641706627,0.010508759759327408,0.029671332927571514,0.00852099817407182,0.01702127659574468,1.0,0.0,0.00745,已完成；尺寸/地面/邻域可靠性见全量统计；无可靠时间戳
139,静态0至541；窗口4至541,538,0.5576208178438662,0.007434944237918215,8.581024169921875,0.0,0.0,0.3984408378601074,0.16991043090820312,0.28084468841552734,0.23171427845954895,0.5025714039802551,1.0,0.051245779577243376,0.9004056857834155,0.0,2.1638099148365724,0.012043299715127073,0.026373063628216616,0.004224811163743439,0.016116653875671526,1.0,0.0,0.00755,已完成；尺寸/地面/邻域可靠性见全量统计；无可靠时间戳
140,静态0至480；窗口4至480,477,0.5324947589098532,0.012578616352201259,8.431575775146484,0.0,0.0,0.333257794380188,0.24760818481445312,0.17578721046447754,0.2288571447134018,0.26514285802841187,1.0,0.05468657088973935,0.9664148313959465,0.0,2.2907466774153056,0.01663662850189386,0.03682778824021762,0,0.019515477792732168,1.0,0.0,0.00465,已完成；尺寸/地面/邻域可靠性见全量统计；无可靠时间戳
141,静态0至696；窗口4至696,693,0.417027417027417,0.005772005772005772,7.330910682678223,0.0,1.0,0.828230082988739,0.5433444976806641,0.3802220821380615,0.24714285135269165,0.19371429085731506,1.0,0.0477067360011609,0.9452497768045124,4.0,1.5691876326349148,0.010953447156030065,0.024292035398230088,0.0009513274336283185,0.013641603688997054,1.0,7.0,0.00795,已完成；尺寸/地面/邻域可靠性见全量统计；无可靠时间戳
142,静态0至536；窗口4至536,533,0.5891181988742964,0.01125703564727955,7.421298027038574,0.0,0.0,0.649456262588501,0.5017490386962891,0.059090256690979004,0.24314285814762115,0.2977142930030823,1.0,0.04998348716305376,0.9438240285056196,0.0,1.7678595560171373,0.009254994628125048,0.1560777957860616,0,0.08425865447419988,1.0,0.0,5e-05,已完成；尺寸/地面/邻域可靠性见全量统计；无可靠时间戳
143,静态0至468；窗口4至468,465,0.5333333333333333,0.012903225806451613,6.605311870574951,0.0,0.0,0.3353464603424072,0.17426204681396484,0.2781412601470947,0.2362857162952423,0.17342856526374817,1.0,0.040599222158844324,0.9681670618914727,0.0,1.9801335708198446,0.011271685952970203,0.00358719646799117,0,0.00195160031225605,1.0,0.0,5e-05,已完成；尺寸/地面/邻域可靠性见全量统计；无可靠时间戳
144,静态0至322；窗口4至322,319,0.39184952978056425,0.0219435736677116,6.3162031173706055,0.0,0.0,0.18076705932617188,0.12846708297729492,0.13905107975006104,0.23657143115997314,0.43514284491539,1.0,0.038040031356182884,0.9674656695967241,1.0,2.223723534265463,0.008594800478681688,0.06173625254582485,0.00012729124236252545,0.03824993450353681,1.0,1.0,0.008450000000000001,已完成；尺寸/地面/邻域可靠性见全量统计；无可靠时间戳
145,静态0至336；窗口4至336,333,0.4264264264264264,0.021021021021021023,6.940427303314209,0.0,0.0,0.3341442160308361,0.276914119720459,0.21829235553741455,0.23914285004138947,0.23828572034835815,1.0,0.04414283472609874,0.9625685726087155,1.0,2.0376950467345645,0.008434150139155007,0.04604051565377532,0,0.03340484216978241,1.0,1.0,0.00875,已完成；尺寸/地面/邻域可靠性见全量统计；无可靠时间戳
