因素,组,因素或联合条件,206训练,201合成验证,真实开发,覆盖与可靠性,差异类型,可调整环节,解释边界
A01,覆盖,序列与扫描数量,原始背景序列1；版本4；世界或序列4；帧1796；完整窗1780,原始背景序列1；版本2；世界或序列2；帧1364；完整窗1356,原始背景序列19；版本不适用；世界或序列19；帧8659；完整窗8583,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,固定背景限制,增加世界数不能增加原始道路数,帧数不等于独立场景数
A02,覆盖,有效观测与零坐标槽,实际回波数(全部): P5/P25/P50/P75/P95=118879/123529/126361/126898/128754；有效1796/1796，1796帧，4世界或序列；忽略点占回波比例(全部): P5/P25/P50/P75/P95=0.00566769/0.00813156/0.0113902/0.0180059/0.114639；有效1796/1796，1796帧，4世界或序列,实际回波数(全部): P5/P25/P50/P75/P95=102458/110982/116154/119021/122605；有效1364/1364，1364帧，2世界或序列；忽略点占回波比例(全部): P5/P25/P50/P75/P95=0.03078/0.0788747/0.226669/0.596103/0.994876；有效1364/1364，1364帧，2世界或序列,实际回波数(全部): P5/P25/P50/P75/P95=100210/111579/116092/118068/123344；有效8659/8659，8659帧，19世界或序列；忽略点占回波比例(全部): P5/P25/P50/P75/P95=0.0134516/0.0629445/0.122147/0.266652/0.961963；有效8659/8659，8659帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,零槽不作为实际回波；忽略点仍保留于完整输入
A03,状态,当前帧无异常,四态0=1144/1796=63.697105%,四态0=821/1364=60.190616%,四态0=5114/8659=59.059938%,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,这是无异常回波，不等于世界绝无异常物体
A04,状态,当前帧有异常但无范围内异常,四态1=74/1796=4.120267%,四态1=78/1364=5.718475%,四态1=465/8659=5.370135%,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,不应记成已观测范围内漏检
A05,状态,当前帧极少点与合格状态,四态2=118/1796=6.570156%；四态3=460/1796=25.612472%,四态2=166/1364=12.170088%；四态3=299/1364=21.920821%,四态2=1120/8659=12.934519%；四态3=1960/8659=22.635408%,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,统计画像不能只保留官方合格帧
A06,状态,整窗无异常,963/1780=54.101124%；覆盖4个世界或序列,693/1356=51.106195%；覆盖2个世界或序列,4355/8583=50.739835%；覆盖19个世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,已有覆盖但频率不匹配,采样或训练权重；保留异常条件覆盖,生成正常训练窗口配比的直接参考
B01,几何,异常点数分布,范围内异常点数(全部): P5/P25/P50/P75/P95=0/0/0/5/65；有效1796/1796，1796帧，4世界或序列,范围内异常点数(全部): P5/P25/P50/P75/P95=0/0/0/3/54；有效1364/1364，1364帧，2世界或序列,范围内异常点数(全部): P5/P25/P50/P75/P95=0/0/0/3/55；有效8659/8659，8659帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,每帧异常总数不等于每个物体点数
B02,几何,异常距离分布,逐点距离(全部): P5/P25/P50/P75/P95=4.21175/6.12741/9.39438/17.864/27.597；有效16682/16682，652帧，4世界或序列；每帧全距离异常距离中位数(全部): P5/P25/P50/P75/P95=6.4052/13.7758/19.7893/29.8682/68.9603；有效652/1796，652帧，4世界或序列,逐点距离(全部): P5/P25/P50/P75/P95=5.43379/9.88548/11.3941/16.6315/26.4906；有效10788/10788，543帧，2世界或序列；每帧全距离异常距离中位数(全部): P5/P25/P50/P75/P95=9.1805/15.3891/23.6651/41.6787/65.6263；有效543/1364，543帧，2世界或序列,逐点距离(全部): P5/P25/P50/P75/P95=4.41734/5.51707/6.76092/10.6241/26.6418；有效90739/90739，3545帧，19世界或序列；每帧全距离异常距离中位数(全部): P5/P25/P50/P75/P95=5.66595/12.4045/23.7875/37.4498/66.5136；有效3545/8659，3545帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,中位数相近不等于逐点距离分布相同
B03,几何,点数×距离联合覆盖,合格帧460；异常点16335；覆盖格7/16,合格帧299；异常点10342；覆盖格8/16,合格帧1956；异常点87398；覆盖格9/16,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,共同覆盖与空格并存，逐格判定,采样或世界生成；见联合条件对照,7格真实无数据不等于现实不可能
B04,几何,位置与方位,前向坐标(全部): P5/P25/P50/P75/P95=-8.7922/-5.26571/0.704068/6.9834/18.9156；有效16682/16682，652帧，4世界或序列；方位角(全部): P5/P25/P50/P75/P95=0.466988/0.773631/1.52753/2.44262/2.81059；有效16682/16682，652帧，4世界或序列,前向坐标(全部): P5/P25/P50/P75/P95=-19.6067/-5.34409/1.10503/5.92351/12.5712；有效10788/10788，543帧，2世界或序列；方位角(全部): P5/P25/P50/P75/P95=-2.78537/-1.63199/-1.10381/1.03135/2.75569；有效10788/10788，543帧，2世界或序列,前向坐标(全部): P5/P25/P50/P75/P95=-17.3929/-5.13208/4.84226/7.46415/19.3366；有效90739/90739，3545帧，19世界或序列；方位角(全部): P5/P25/P50/P75/P95=-3.06157/-0.392151/-0.0550548/0.147615/2.78011；有效90739/90739，3545帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,不可将传感器高度直接当离地高度
