联合条件,格编码,条件说明,206训练_世界或序列数,206训练_合成版本或真实序列数,206训练_原始背景序列数（非独立道路）,206训练_帧数,206训练_该联合表帧分母,206训练_帧比例,206训练_全距离异常点,206训练_范围内异常点,206训练_已观测实例标识数,201合成验证_世界或序列数,201合成验证_合成版本或真实序列数,201合成验证_原始背景序列数（非独立道路）,201合成验证_帧数,201合成验证_该联合表帧分母,201合成验证_帧比例,201合成验证_全距离异常点,201合成验证_范围内异常点,201合成验证_已观测实例标识数,真实开发_世界或序列数,真实开发_合成版本或真实序列数,真实开发_原始背景序列数（非独立道路）,真实开发_帧数,真实开发_该联合表帧分母,真实开发_帧比例,真实开发_全距离异常点,真实开发_范围内异常点,真实开发_已观测实例标识数,差异类型
count_distance_history,0|outside_only|0,范围内0点；距离中位数仅范围外异常；历史可见0次,4,4,1,17,1780,0.009550561797752809,17,0,4,2,2,1,8,1356,0.0058997050147492625,8,0,2,18,18,18,71,8583,0.008272165909355703,77,0,21,共同覆盖；比较频率
count_distance_history,0|outside_only|1,范围内0点；距离中位数仅范围外异常；历史可见1次,4,4,1,14,1780,0.007865168539325843,18,0,4,2,2,1,10,1356,0.007374631268436578,11,0,2,17,17,17,91,8583,0.010602353489455901,103,0,21,共同覆盖；比较频率
count_distance_history,0|outside_only|2,范围内0点；距离中位数仅范围外异常；历史可见2次,4,4,1,14,1780,0.007865168539325843,19,0,4,2,2,1,19,1356,0.014011799410029498,22,0,2,17,17,17,111,8583,0.0129325410695561,148,0,23,共同覆盖；比较频率
count_distance_history,0|outside_only|3,范围内0点；距离中位数仅范围外异常；历史可见3次,3,3,1,13,1780,0.007303370786516854,21,0,3,2,2,1,19,1356,0.014011799410029498,25,0,2,16,16,16,91,8583,0.010602353489455901,137,0,21,共同覆盖；比较频率
count_distance_history,0|outside_only|4,范围内0点；距离中位数仅范围外异常；历史可见4次,2,2,1,16,1780,0.008988764044943821,27,0,2,2,2,1,21,1356,0.015486725663716814,34,0,2,11,11,11,101,8583,0.011767447279506,178,0,18,共同覆盖；比较频率
count_distance_history,0|unseen|0,范围内0点；距离中位数未见异常；历史可见0次,4,4,1,963,1780,0.5410112359550562,0,0,0,2,2,1,693,1356,0.5110619469026548,0,0,0,19,19,19,4355,8583,0.5073983455668182,0,0,0,共同覆盖；比较频率
count_distance_history,0|unseen|1,范围内0点；距离中位数未见异常；历史可见1次,4,4,1,80,1780,0.0449438202247191,0,0,0,2,2,1,46,1356,0.03392330383480826,0,0,0,19,19,19,304,8583,0.03541885121752301,0,0,0,共同覆盖；比较频率
count_distance_history,0|unseen|2,范围内0点；距离中位数未见异常；历史可见2次,4,4,1,42,1780,0.02359550561797753,0,0,0,2,2,1,38,1356,0.028023598820058997,0,0,0,19,19,19,175,8583,0.02038914132587673,0,0,0,共同覆盖；比较频率
count_distance_history,0|unseen|3,范围内0点；距离中位数未见异常；历史可见3次,4,4,1,25,1780,0.014044943820224719,0,0,0,2,2,1,21,1356,0.015486725663716814,0,0,0,19,19,19,124,8583,0.014447162996621228,0,0,0,共同覆盖；比较频率
count_distance_history,0|unseen|4,范围内0点；距离中位数未见异常；历史可见4次,4,4,1,18,1780,0.010112359550561797,0,0,0,2,2,1,16,1356,0.011799410029498525,0,0,0,19,19,19,84,8583,0.009786787836420832,0,0,0,共同覆盖；比较频率
count_distance_history,1|0|0,"范围内1至4点；距离中位数[2.5,10)；历史可见0次",0,0,0,0,1780,0.0,0,0,0,0,0,0,0,1356,0.0,0,0,0,4,4,4,4,8583,0.0004660375160200396,11,11,4,训练完全缺覆盖
count_distance_history,1|0|1,"范围内1至4点；距离中位数[2.5,10)；历史可见1次",0,0,0,0,1780,0.0,0,0,0,0,0,0,0,1356,0.0,0,0,0,0,0,0,0,8583,0.0,0,0,0,三侧均无观测
count_distance_history,1|0|2,"范围内1至4点；距离中位数[2.5,10)；历史可见2次",0,0,0,0,1780,0.0,0,0,0,0,0,0,0,1356,0.0,0,0,0,0,0,0,0,8583,0.0,0,0,0,三侧均无观测
count_distance_history,1|0|3,"范围内1至4点；距离中位数[2.5,10)；历史可见3次",0,0,0,0,1780,0.0,0,0,0,0,0,0,0,1356,0.0,0,0,0,0,0,0,0,8583,0.0,0,0,0,三侧均无观测
