五位文本模式,可见扫描数,206训练_窗口数,206训练_总窗口,206训练_比例,206训练_覆盖世界或序列数,201合成验证_窗口数,201合成验证_总窗口,201合成验证_比例,201合成验证_覆盖世界或序列数,真实开发_窗口数,真实开发_总窗口,真实开发_比例,真实开发_覆盖世界或序列数
00000,0,963,1780,0.5410112359550562,4,693,1356,0.5110619469026548,2,4355,8583,0.5073983455668182,19
00001,1,32,1780,0.017977528089887642,4,18,1356,0.01327433628318584,2,97,8583,0.01130140976348596,19
00010,1,19,1780,0.010674157303370787,4,11,1356,0.008112094395280236,2,69,8583,0.008039147151345682,18
00011,2,18,1780,0.010112359550561797,4,13,1356,0.009587020648967551,2,58,8583,0.006757543982290575,18
00100,1,14,1780,0.007865168539325843,4,8,1356,0.0058997050147492625,2,72,8583,0.008388675288360714,18
00101,2,7,1780,0.003932584269662922,3,6,1356,0.004424778761061947,2,21,8583,0.002446696959105208,12
00110,2,7,1780,0.003932584269662922,4,6,1356,0.004424778761061947,2,34,8583,0.003961318886170337,16
00111,3,14,1780,0.007865168539325843,4,12,1356,0.008849557522123894,2,57,8583,0.006641034603285564,19
01000,1,18,1780,0.010112359550561797,4,9,1356,0.00663716814159292,2,72,8583,0.008388675288360714,18
01001,2,3,1780,0.0016853932584269663,2,3,1356,0.0022123893805309734,2,22,8583,0.002563206338110218,14
01010,2,4,1780,0.0022471910112359553,2,5,1356,0.003687315634218289,2,16,8583,0.0018641500640801585,10
01011,3,5,1780,0.0028089887640449437,3,3,1356,0.0022123893805309734,1,18,8583,0.0020971688220901784,12
01100,2,6,1780,0.0033707865168539327,2,6,1356,0.004424778761061947,2,30,8583,0.003495281370150297,15
01101,3,4,1780,0.0022471910112359553,4,3,1356,0.0022123893805309734,2,28,8583,0.0032622626121402774,14
01110,3,5,1780,0.0028089887640449437,3,4,1356,0.0029498525073746312,2,27,8583,0.0031457532331352674,16
01111,4,21,1780,0.011797752808988765,4,16,1356,0.011799410029498525,2,90,8583,0.01048584411045089,19
10000,1,29,1780,0.016292134831460674,4,18,1356,0.01327433628318584,2,91,8583,0.010602353489455901,18
10001,2,5,1780,0.0028089887640449437,3,6,1356,0.004424778761061947,2,30,8583,0.003495281370150297,14
10010,2,2,1780,0.0011235955056179776,1,3,1356,0.0022123893805309734,2,24,8583,0.0027962250961202375,12
10011,3,3,1780,0.0016853932584269663,3,5,1356,0.003687315634218289,2,33,8583,0.003844809507165327,17
10100,2,7,1780,0.003932584269662922,4,4,1356,0.0029498525073746312,2,22,8583,0.002563206338110218,14
10101,3,2,1780,0.0011235955056179776,2,2,1356,0.0014749262536873156,1,13,8583,0.0015146219270651287,8
10110,3,3,1780,0.0016853932584269663,1,3,1356,0.0022123893805309734,2,24,8583,0.0027962250961202375,11
10111,4,12,1780,0.006741573033707865,4,8,1356,0.0058997050147492625,2,60,8583,0.006990562740300594,16
11000,2,16,1780,0.008988764044943821,4,14,1356,0.01032448377581121,2,49,8583,0.005708959571245485,17
11001,3,2,1780,0.0011235955056179776,2,5,1356,0.003687315634218289,2,35,8583,0.0040778282651753464,16
11010,3,5,1780,0.0028089887640449437,4,1,1356,0.0007374631268436578,1,19,8583,0.002213678201095188,11
11011,4,10,1780,0.0056179775280898875,4,8,1356,0.0058997050147492625,2,66,8583,0.007689619014330654,16
11100,3,12,1780,0.006741573033707865,4,13,1356,0.009587020648967551,2,54,8583,0.006291506466270535,18
11101,4,11,1780,0.006179775280898876,4,6,1356,0.004424778761061947,2,57,8583,0.006641034603285564,17
11110,4,18,1780,0.010112359550561797,4,16,1356,0.011799410029498525,2,84,8583,0.009786787836420832,19
11111,5,503,1780,0.28258426966292133,4,428,1356,0.31563421828908556,2,2856,8583,0.3327507864383083,19
