池,因素,条件,统计范围,v1分子,v1分母,v1覆盖世界,v1比例,v2分子,v2分母,v2覆盖世界,v2比例,真实分子,真实分母,真实覆盖序列,真实比例,目标参考比例,目标下限,目标上限,v2减目标,残余状态
train,E02,00000,完整五帧窗口,20,3080,5,0.006493506493506494,963,1780,4,0.5410112359550562,4355,8583,19,0.5073983455668182,0.5073983455668182,0.45,0.55,0.033612890388238004,目标范围内
train,E02,11111,完整五帧窗口,3011,3080,128,0.9775974025974026,503,1780,4,0.28258426966292133,2856,8583,19,0.3327507864383083,0.3327507864383083,0.28,0.38,-0.05016651677538697,目标范围内
train,E02,partial,完整五帧窗口,49,3080,9,0.015909090909090907,314,1780,4,0.17640449438202246,1372,8583,19,0.15985086799487358,0.15985086799487358,0.12,0.2,0.016553626387148884,目标范围内
train,E02,current_absent_history_present,完整五帧窗口,15,3080,4,0.00487012987012987,165,1780,4,0.09269662921348315,687,8583,19,0.0800419433764418,0.0800419433764418,,,0.012654685837041352,报告实际差异；不要求精确相等
train,G01,count_bin_0|distance_bin_0,完整五帧区间的官方合格当前帧；分箱沿用固定定义,61,3004,10,0.02030625832223702,0,460,0,0.0,56,1956,11,0.028629856850715747,0.029698364008179955,,,-0.029698364008179955,缺覆盖
train,G01,count_bin_0|distance_bin_1,完整五帧区间的官方合格当前帧；分箱沿用固定定义,60,3004,8,0.019973368841544607,114,460,3,0.24782608695652175,455,1956,18,0.23261758691206544,0.22598670756646216,,,0.021839379390059588,报告实际差异；不要求精确相等
train,G01,count_bin_0|distance_bin_2,完整五帧区间的官方合格当前帧；分箱沿用固定定义,0,3004,0,0.0,127,460,3,0.27608695652173915,410,1956,16,0.20961145194274028,0.20413087934560328,,,0.07195607717613586,报告实际差异；不要求精确相等
train,G01,count_bin_0|distance_bin_3,完整五帧区间的官方合格当前帧；分箱沿用固定定义,0,3004,0,0.0,3,460,1,0.006521739130434782,54,1956,4,0.027607361963190184,0.02872699386503067,,,-0.022205254734595888,报告实际差异；不要求精确相等
train,G01,count_bin_1|distance_bin_0,完整五帧区间的官方合格当前帧；分箱沿用固定定义,338,3004,35,0.11251664447403462,80,460,1,0.17391304347826086,371,1956,19,0.18967280163599182,0.18518916155419224,,,-0.011276118075931374,报告实际差异；不要求精确相等
train,G01,count_bin_1|distance_bin_1,完整五帧区间的官方合格当前帧；分箱沿用固定定义,170,3004,24,0.05659121171770972,87,460,3,0.1891304347826087,303,1956,14,0.1549079754601227,0.15216257668711655,,,0.036967858095492134,报告实际差异；不要求精确相等
train,G01,count_bin_1|distance_bin_2,完整五帧区间的官方合格当前帧；分箱沿用固定定义,0,3004,0,0.0,13,460,1,0.02826086956521739,55,1956,1,0.028118609406952964,0.031712678936605315,,,-0.003451809371387924,报告实际差异；不要求精确相等
train,G01,count_bin_1|distance_bin_3,完整五帧区间的官方合格当前帧；分箱沿用固定定义,0,3004,0,0.0,0,460,0,0.0,0,1956,0,0.0,0.0025000000000000005,,,-0.0025000000000000005,报告实际差异；不要求精确相等
train,G01,count_bin_2|distance_bin_0,完整五帧区间的官方合格当前帧；分箱沿用固定定义,776,3004,71,0.2583222370173103,36,460,1,0.0782608695652174,247,1956,14,0.12627811860940696,0.12496421267893659,,,-0.046703343113719195,报告实际差异；不要求精确相等
train,G01,count_bin_2|distance_bin_1,完整五帧区间的官方合格当前帧；分箱沿用固定定义,282,3004,34,0.09387483355525965,0,460,0,0.0,5,1956,1,0.002556237218813906,0.007428425357873212,,,-0.007428425357873212,缺覆盖
train,G01,count_bin_2|distance_bin_2,完整五帧区间的官方合格当前帧；分箱沿用固定定义,0,3004,0,0.0,0,460,0,0.0,0,1956,0,0.0,0.0025000000000000005,,,-0.0025000000000000005,报告实际差异；不要求精确相等
train,G01,count_bin_2|distance_bin_3,完整五帧区间的官方合格当前帧；分箱沿用固定定义,0,3004,0,0.0,0,460,0,0.0,0,1956,0,0.0,0.0,,,0.0,报告实际差异；不要求精确相等
train,G01,count_bin_3|distance_bin_0,完整五帧区间的官方合格当前帧；分箱沿用固定定义,1245,3004,73,0.4144474034620506,0,460,0,0.0,0,1956,0,0.0,0.0025000000000000005,,,-0.0025000000000000005,报告实际差异；不要求精确相等
train,G01,count_bin_3|distance_bin_1,完整五帧区间的官方合格当前帧；分箱沿用固定定义,72,3004,12,0.023968042609853527,0,460,0,0.0,0,1956,0,0.0,0.0025000000000000005,,,-0.0025000000000000005,报告实际差异；不要求精确相等
train,G01,count_bin_3|distance_bin_2,完整五帧区间的官方合格当前帧；分箱沿用固定定义,0,3004,0,0.0,0,460,0,0.0,0,1956,0,0.0,0.0,,,0.0,报告实际差异；不要求精确相等
train,G01,count_bin_3|distance_bin_3,完整五帧区间的官方合格当前帧；分箱沿用固定定义,0,3004,0,0.0,0,460,0,0.0,0,1956,0,0.0,0.0,,,0.0,报告实际差异；不要求精确相等
train,C04,at_least_3_normal_neighbors_within_0.5m,全部异常点,409167,3124521,128,0.13095351255440435,12786,16682,4,0.7664548615273948,68155,90739,19,0.7511103274226077,0.7511103274226077,,,0.015344534104787089,报告实际差异；不要求精确相等
train,B05,reliable_visible_geometry,实例×帧记录,3470,3537,128,0.9810573932711337,380,652,3,0.5828220858895705,1611,4729,19,0.34066398815817295,0.34066398815817295,,,0.24215809773139757,报告实际差异；不要求精确相等
validation,E02,00000,完整五帧窗口,10,2360,3,0.00423728813559322,693,1356,2,0.5110619469026548,4355,8583,19,0.5073983455668182,0.5073983455668182,0.45,0.55,0.0036636013358366526,目标范围内
validation,E02,11111,完整五帧窗口,2312,2360,92,0.9796610169491525,428,1356,2,0.31563421828908556,2856,8583,19,0.3327507864383083,0.3327507864383083,0.28,0.38,-0.017116568149222744,目标范围内
validation,E02,partial,完整五帧窗口,38,2360,8,0.016101694915254237,235,1356,2,0.1733038348082596,1372,8583,19,0.15985086799487358,0.15985086799487358,0.12,0.2,0.013452966813386008,目标范围内
validation,E02,current_absent_history_present,完整五帧窗口,9,2360,4,0.0038135593220338985,121,1356,2,0.08923303834808259,687,8583,19,0.0800419433764418,0.0800419433764418,,,0.009191094971640792,报告实际差异；不要求精确相等
validation,G01,count_bin_0|distance_bin_0,完整五帧区间的官方合格当前帧；分箱沿用固定定义,119,2278,13,0.05223880597014925,3,299,1,0.010033444816053512,56,1956,11,0.028629856850715747,0.029698364008179955,,,-0.019664919192126443,报告实际差异；不要求精确相等
validation,G01,count_bin_0|distance_bin_1,完整五帧区间的官方合格当前帧；分箱沿用固定定义,107,2278,10,0.04697102721685689,53,299,2,0.17725752508361203,455,1956,18,0.23261758691206544,0.22598670756646216,,,-0.04872918248285013,报告实际差异；不要求精确相等
