aspect,azimuth_gap,azimuth_span,elevation_span,frame,ground_height_median,ground_height_p05,ground_rmse,ground_status,ground_support,height,instance,length,linearity,planarity,points,scattering,segment,sequence,shape_status,source_frame,source_sequence,unique_points,version,width
,,,,0,,,,fewer_than_20_ground_returns,2,,60001,,,,2,,0,000_00,fewer_than_10_distinct_returns,0,206,2,synthetic/pilot_v2_r1/train/000,
,,,,1,,,,fewer_than_20_ground_returns,2,,60001,,,,5,,0,000_00,fewer_than_10_distinct_returns,1,206,5,synthetic/pilot_v2_r1/train/000,
,,,,2,,,,fewer_than_20_ground_returns,3,,60001,,,,5,,0,000_00,fewer_than_10_distinct_returns,2,206,5,synthetic/pilot_v2_r1/train/000,
,,,,3,,,,fewer_than_20_ground_returns,1,,60001,,,,4,,0,000_00,fewer_than_10_distinct_returns,3,206,4,synthetic/pilot_v2_r1/train/000,
,,,,4,,,,fewer_than_20_ground_returns,1,,60001,,,,5,,0,000_00,fewer_than_10_distinct_returns,4,206,5,synthetic/pilot_v2_r1/train/000,
,,,,5,,,,fewer_than_20_ground_returns,2,,60001,,,,5,,0,000_00,fewer_than_10_distinct_returns,5,206,5,synthetic/pilot_v2_r1/train/000,
,,,,6,,,,fewer_than_20_ground_returns,0,,60001,,,,7,,0,000_00,fewer_than_10_distinct_returns,6,206,7,synthetic/pilot_v2_r1/train/000,
,,,,7,,,,fewer_than_20_ground_returns,1,,60001,,,,5,,0,000_00,fewer_than_10_distinct_returns,7,206,5,synthetic/pilot_v2_r1/train/000,
,,,,8,,,,fewer_than_20_ground_returns,0,,60001,,,,5,,0,000_00,fewer_than_10_distinct_returns,8,206,5,synthetic/pilot_v2_r1/train/000,
,,,,9,,,,fewer_than_20_ground_returns,0,,60001,,,,5,,0,000_00,fewer_than_10_distinct_returns,9,206,5,synthetic/pilot_v2_r1/train/000,
,,,,10,,,,fewer_than_20_ground_returns,0,,60001,,,,3,,0,000_00,fewer_than_10_distinct_returns,10,206,3,synthetic/pilot_v2_r1/train/000,
,,,,11,,,,fewer_than_20_ground_returns,1,,60001,,,,5,,0,000_00,fewer_than_10_distinct_returns,11,206,5,synthetic/pilot_v2_r1/train/000,
,,,,12,,,,fewer_than_20_ground_returns,2,,60001,,,,6,,0,000_00,fewer_than_10_distinct_returns,12,206,6,synthetic/pilot_v2_r1/train/000,
,,,,13,,,,fewer_than_20_ground_returns,2,,60001,,,,9,,0,000_00,fewer_than_10_distinct_returns,13,206,9,synthetic/pilot_v2_r1/train/000,
,,,,14,,,,fewer_than_20_ground_returns,3,,60001,,,,9,,0,000_00,fewer_than_10_distinct_returns,14,206,9,synthetic/pilot_v2_r1/train/000,
1.2048441266646384,0.01198080542104385,0.02483467499167702,0.024251038833656556,15,,,,fewer_than_20_ground_returns,6,0.8676124811172485,60001,0.7855129241943359,0.41837209331900893,0.4857820153890018,11,0.09584589129198924,0,000_00,reliable_visible_extent,15,206,11,synthetic/pilot_v2_r1/train/000,0.6519622802734375
1.0835491670064492,0.01162701781631481,0.024834673027949172,0.024246292416974798,16,,,,fewer_than_20_ground_returns,4,0.8575757741928101,60001,0.7197551727294922,0.2916753772263695,0.5256946622831612,11,0.1826299604904693,0,000_00,reliable_visible_extent,16,206,11,synthetic/pilot_v2_r1/train/000,0.6642570495605469
1.2155339221368926,0.005844947505574516,0.013060566700283438,0.024260258652099263,17,,,,fewer_than_20_ground_returns,11,0.8805060386657715,60001,0.5391826629638672,0.6075216950609383,0.3000163941491297,11,0.09246191078993199,0,000_00,reliable_visible_extent,17,206,11,synthetic/pilot_v2_r1/train/000,0.4435768127441406
1.2827500498003526,0.0114830664748653,0.02518855487487137,0.02426056298807932,18,,,,fewer_than_20_ground_returns,6,0.875481128692627,60001,0.8229141235351562,0.3959121517578318,0.4997195515470723,12,0.10436829669509587,0,000_00,reliable_visible_extent,18,206,12,synthetic/pilot_v2_r1/train/000,0.6415233612060547
1.0823517099433702,0.011980880766671254,0.02483469009859096,0.024251699364697094,19,,,,fewer_than_20_ground_returns,15,0.8493661880493164,60001,0.7101364135742188,0.4323767055372326,0.44405734112374284,12,0.12356595333902455,0,000_00,reliable_visible_extent,19,206,12,synthetic/pilot_v2_r1/train/000,0.6561050415039062
,,,,20,,,,fewer_than_20_ground_returns,8,,60001,,,,9,,0,000_00,fewer_than_10_distinct_returns,20,206,9,synthetic/pilot_v2_r1/train/000,
1.2779375472815415,0.011488850553876606,0.025326684935144783,0.024778668123504884,21,,,,fewer_than_20_ground_returns,15,0.8649165630340576,60001,0.8602790832519531,0.4406933435311916,0.40730261330427514,12,0.15200404316453325,0,000_00,reliable_visible_extent,21,206,12,synthetic/pilot_v2_r1/train/000,0.6731777191162109
