end,kind,left_censored,length,right_censored,sequence,source_end,source_start,start
41,visible,1,42,0,000_00,41,0,0
43,gap,0,2,0,000_00,43,42,42
81,visible,0,38,0,000_00,81,44,44
82,gap,0,1,0,000_00,82,82,82
84,visible,0,2,0,000_00,84,83,83
85,gap,0,1,0,000_00,85,85,85
94,visible,0,9,0,000_00,94,86,86
95,gap,0,1,0,000_00,95,95,95
96,visible,0,1,0,000_00,96,96,96
97,gap,0,1,0,000_00,97,97,97
109,visible,0,12,0,000_00,109,98,98
114,gap,0,5,0,000_00,114,110,110
140,visible,0,26,0,000_00,140,115,115
222,gap,0,82,0,000_00,222,141,141
223,visible,0,1,0,000_00,223,223,223
281,gap,0,58,0,000_00,281,224,224
282,visible,0,1,0,000_00,282,282,282
349,gap,0,67,0,000_00,349,283,283
350,visible,0,1,0,000_00,350,350,350
351,gap,0,1,0,000_00,351,351,351
354,visible,0,3,0,000_00,354,352,352
384,gap,0,30,0,000_00,384,355,355
385,visible,0,1,0,000_00,385,385,385
390,gap,0,5,0,000_00,390,386,386
392,visible,0,2,0,000_00,392,391,391
448,tail,0,56,1,000_00,448,393,393
36,prefix,1,37,0,001_00,36,0,0
37,visible,0,1,0,001_00,37,37,37
38,gap,0,1,0,001_00,38,38,38
39,visible,0,1,0,001_00,39,39,39
43,gap,0,4,0,001_00,43,40,40
46,visible,0,3,0,001_00,46,44,44
47,gap,0,1,0,001_00,47,47,47
53,visible,0,6,0,001_00,53,48,48
54,gap,0,1,0,001_00,54,54,54
57,visible,0,3,0,001_00,57,55,55
59,gap,0,2,0,001_00,59,58,58
60,visible,0,1,0,001_00,60,60,60
124,gap,0,64,0,001_00,124,61,61
125,visible,0,1,0,001_00,125,125,125
126,gap,0,1,0,001_00,126,126,126
127,visible,0,1,0,001_00,127,127,127
138,gap,0,11,0,001_00,138,128,128
139,visible,0,1,0,001_00,139,139,139
144,gap,0,5,0,001_00,144,140,140
145,visible,0,1,0,001_00,145,145,145
151,gap,0,6,0,001_00,151,146,146
152,visible,0,1,0,001_00,152,152,152
155,gap,0,3,0,001_00,155,153,153
158,visible,0,3,0,001_00,158,156,156
159,gap,0,1,0,001_00,159,159,159
188,visible,0,29,0,001_00,188,160,160
215,gap,0,27,0,001_00,215,189,189
448,visible,0,233,1,001_00,448,216,216
44,prefix,1,45,0,002_00,44,0,0
45,visible,0,1,0,002_00,45,45,45
146,gap,0,101,0,002_00,146,46,46
148,visible,0,2,0,002_00,148,147,147
172,gap,0,24,0,002_00,172,149,149
174,visible,0,2,0,002_00,174,173,173
175,gap,0,1,0,002_00,175,175,175
181,visible,0,6,0,002_00,181,176,176
182,gap,0,1,0,002_00,182,182,182
185,visible,0,3,0,002_00,185,183,183
221,gap,0,36,0,002_00,221,186,186
329,visible,0,108,0,002_00,329,222,222
363,gap,0,34,0,002_00,363,330,330
448,visible,0,85,1,002_00,448,364,364
22,prefix,1,23,0,003_00,22,0,0
118,visible,0,96,0,003_00,118,23,23
136,gap,0,18,0,003_00,136,119,119
276,visible,0,140,0,003_00,276,137,137
448,tail,0,172,1,003_00,448,277,277
