序列,类别,权重,点数,有效帧数,序列数,最小值,P5,P25,P50,P75,P95,最大值,不同取值数,重复取值点比例,最小值点数,最大值点数,零值比例,精确网格比例,最高频10个取值及计数
全部,正常,有适用观测的帧等权,744037182,8659,19,0.0002857142826542258,0.01914285682141781,0.09542857110500336,0.21657143533229828,0.4262857139110565,0.7785714268684387,8.640000343322754,5873,0.9999998145253983,4,1,0,1.0,"[{""count"": 511176, ""value"": 0.10314285755157471}, {""count"": 511009, ""value"": 0.1062857136130333}, {""count"": 510743, ""value"": 0.10371428728103638}, {""count"": 510708, ""value"": 0.10599999874830246}, {""count"": 510301, ""value"": 0.10571428388357162}, {""count"": 510263, ""value"": 0.10485713928937912}, {""count"": 510171, ""value"": 0.1071428582072258}, {""count"": 510135, ""value"": 0.09942857176065445}, {""count"": 510121, ""value"": 0.10199999809265137}, {""count"": 510093, ""value"": 0.10171428322792053}]"
全部,正常,统计单位等权,744037182,8659,19,0.0002857142826542258,0.028285713866353035,0.11571428924798965,0.23800000548362732,0.4382857084274292,0.7731428742408752,8.640000343322754,5873,0.9999998145253983,4,1,0,1.0,"[{""count"": 511176, ""value"": 0.10314285755157471}, {""count"": 511009, ""value"": 0.1062857136130333}, {""count"": 510743, ""value"": 0.10371428728103638}, {""count"": 510708, ""value"": 0.10599999874830246}, {""count"": 510301, ""value"": 0.10571428388357162}, {""count"": 510263, ""value"": 0.10485713928937912}, {""count"": 510171, ""value"": 0.1071428582072258}, {""count"": 510135, ""value"": 0.09942857176065445}, {""count"": 510121, ""value"": 0.10199999809265137}, {""count"": 510093, ""value"": 0.10171428322792053}]"
全部,正常,有适用观测的序列等权,744037182,8659,19,0.0002857142826542258,0.02914285659790039,0.11599999666213989,0.23742857575416565,0.4374285638332367,0.7739999890327454,8.640000343322754,5873,0.9999998145253983,4,1,0,1.0,"[{""count"": 511176, ""value"": 0.10314285755157471}, {""count"": 511009, ""value"": 0.1062857136130333}, {""count"": 510743, ""value"": 0.10371428728103638}, {""count"": 510708, ""value"": 0.10599999874830246}, {""count"": 510301, ""value"": 0.10571428388357162}, {""count"": 510263, ""value"": 0.10485713928937912}, {""count"": 510171, ""value"": 0.1071428582072258}, {""count"": 510135, ""value"": 0.09942857176065445}, {""count"": 510121, ""value"": 0.10199999809265137}, {""count"": 510093, ""value"": 0.10171428322792053}]"
全部,异常,有适用观测的帧等权,90739,3545,19,0.001714285695925355,0.017142856493592262,0.0454285703599453,0.1177142858505249,0.25371429324150085,0.5320000052452087,1.1411428451538086,3421,0.9956358346466239,1,1,0,1.0,"[{""count"": 249, ""value"": 0.00800000037997961}, {""count"": 241, ""value"": 0.0071428571827709675}, {""count"": 229, ""value"": 0.008857143111526966}, {""count"": 225, ""value"": 0.010285714641213417}, {""count"": 223, ""value"": 0.010857142508029938}, {""count"": 219, ""value"": 0.008571428246796131}, {""count"": 219, ""value"": 0.009142857044935226}, {""count"": 218, ""value"": 0.009714285843074322}, {""count"": 217, ""value"": 0.009999999776482582}, {""count"": 216, ""value"": 0.009428570978343487}]"
全部,异常,统计单位等权,90739,3545,19,0.001714285695925355,0.009999999776482582,0.06514285504817963,0.17171429097652435,0.32685714960098267,0.6082857251167297,1.1411428451538086,3421,0.9956358346466239,1,1,0,1.0,"[{""count"": 249, ""value"": 0.00800000037997961}, {""count"": 241, ""value"": 0.0071428571827709675}, {""count"": 229, ""value"": 0.008857143111526966}, {""count"": 225, ""value"": 0.010285714641213417}, {""count"": 223, ""value"": 0.010857142508029938}, {""count"": 219, ""value"": 0.008571428246796131}, {""count"": 219, ""value"": 0.009142857044935226}, {""count"": 218, ""value"": 0.009714285843074322}, {""count"": 217, ""value"": 0.009999999776482582}, {""count"": 216, ""value"": 0.009428570978343487}]"
全部,异常,有适用观测的序列等权,90739,3545,19,0.001714285695925355,0.02742857113480568,0.11914286017417908,0.2248571366071701,0.37685713171958923,0.6482856869697571,1.1411428451538086,3421,0.9956358346466239,1,1,0,1.0,"[{""count"": 249, ""value"": 0.00800000037997961}, {""count"": 241, ""value"": 0.0071428571827709675}, {""count"": 229, ""value"": 0.008857143111526966}, {""count"": 225, ""value"": 0.010285714641213417}, {""count"": 223, ""value"": 0.010857142508029938}, {""count"": 219, ""value"": 0.008571428246796131}, {""count"": 219, ""value"": 0.009142857044935226}, {""count"": 218, ""value"": 0.009714285843074322}, {""count"": 217, ""value"": 0.009999999776482582}, {""count"": 216, ""value"": 0.009428570978343487}]"
全部,忽略,有适用观测的帧等权,243679266,8659,19,0.0002857142826542258,0.013142856769263744,0.04714285582304001,0.12685714662075043,0.29085713624954224,0.6891428828239441,5.6177144050598145,5791,0.9999997619822115,1,1,0,1.0,"[{""count"": 284192, ""value"": 0.017999999225139618}, {""count"": 284139, ""value"": 0.017142856493592262}, {""count"": 283340, ""value"": 0.017714286223053932}, {""count"": 282961, ""value"": 0.017428571358323097}, {""count"": 282340, ""value"": 0.016857143491506577}, {""count"": 282322, ""value"": 0.018857141956686974}, {""count"": 282092, ""value"": 0.018285714089870453}, {""count"": 281883, ""value"": 0.018571428954601288}, {""count"": 281387, ""value"": 0.01914285682141781}, {""count"": 281200, ""value"": 0.01657142862677574}]"
全部,忽略,统计单位等权,243679266,8659,19,0.0002857142826542258,0.018571428954601288,0.07742857187986374,0.18542857468128204,0.3937142789363861,0.7717142701148987,5.6177144050598145,5791,0.9999997619822115,1,1,0,1.0,"[{""count"": 284192, ""value"": 0.017999999225139618}, {""count"": 284139, ""value"": 0.017142856493592262}, {""count"": 283340, ""value"": 0.017714286223053932}, {""count"": 282961, ""value"": 0.017428571358323097}, {""count"": 282340, ""value"": 0.016857143491506577}, {""count"": 282322, ""value"": 0.018857141956686974}, {""count"": 282092, ""value"": 0.018285714089870453}, {""count"": 281883, ""value"": 0.018571428954601288}, {""count"": 281387, ""value"": 0.01914285682141781}, {""count"": 281200, ""value"": 0.01657142862677574}]"
全部,忽略,有适用观测的序列等权,243679266,8659,19,0.0002857142826542258,0.01600000075995922,0.06685714423656464,0.168857142329216,0.37542855739593506,0.7705714106559753,5.6177144050598145,5791,0.9999997619822115,1,1,0,1.0,"[{""count"": 284192, ""value"": 0.017999999225139618}, {""count"": 284139, ""value"": 0.017142856493592262}, {""count"": 283340, ""value"": 0.017714286223053932}, {""count"": 282961, ""value"": 0.017428571358323097}, {""count"": 282340, ""value"": 0.016857143491506577}, {""count"": 282322, ""value"": 0.018857141956686974}, {""count"": 282092, ""value"": 0.018285714089870453}, {""count"": 281883, ""value"": 0.018571428954601288}, {""count"": 281387, ""value"": 0.01914285682141781}, {""count"": 281200, ""value"": 0.01657142862677574}]"
125,正常,有适用观测的帧等权,25082699,255,1,0.0008571428479626775,0.040571428835392,0.10514285415410995,0.1882857084274292,0.3174285590648651,0.6420000195503235,1.6368571519851685,5726,0.9999997607912928,2,1,0,1.0,"[{""count"": 23193, ""value"": 0.07685714215040207}, {""count"": 23151, ""value"": 0.07599999755620956}, {""count"": 23119, ""value"": 0.07742857187986374}, {""count"": 23102, ""value"": 0.0762857124209404}, {""count"": 23102, ""value"": 0.08514285832643509}, {""count"": 23098, ""value"": 0.07657142728567123}, {""count"": 23092, ""value"": 0.07999999821186066}, {""count"": 23086, ""value"": 0.0820000022649765}, {""count"": 23084, ""value"": 0.08857142925262451}, {""count"": 23082, ""value"": 0.07371428608894348}]"
125,正常,统计单位等权,25082699,255,1,0.0008571428479626775,0.040571428835392,0.10485713928937912,0.18942856788635254,0.32114285230636597,0.6505714058876038,1.6368571519851685,5726,0.9999997607912928,2,1,0,1.0,"[{""count"": 23193, ""value"": 0.07685714215040207}, {""count"": 23151, ""value"": 0.07599999755620956}, {""count"": 23119, ""value"": 0.07742857187986374}, {""count"": 23102, ""value"": 0.0762857124209404}, {""count"": 23102, ""value"": 0.08514285832643509}, {""count"": 23098, ""value"": 0.07657142728567123}, {""count"": 23092, ""value"": 0.07999999821186066}, {""count"": 23086, ""value"": 0.0820000022649765}, {""count"": 23084, ""value"": 0.08857142925262451}, {""count"": 23082, ""value"": 0.07371428608894348}]"
125,异常,有适用观测的帧等权,25873,211,1,0.001714285695925355,0.0071428571827709675,0.019428571686148643,0.04714285582304001,0.11028571426868439,0.38199999928474426,0.9259999990463257,2053,0.9790515208905036,1,1,0,1.0,"[{""count"": 235, ""value"": 0.00800000037997961}, {""count"": 233, ""value"": 0.0071428571827709675}, {""count"": 220, ""value"": 0.008857143111526966}, {""count"": 213, ""value"": 0.010285714641213417}, {""count"": 208, ""value"": 0.009142857044935226}, {""count"": 204, ""value"": 0.009428570978343487}, {""count"": 203, ""value"": 0.009714285843074322}, {""count"": 202, ""value"": 0.009999999776482582}, {""count"": 202, ""value"": 0.010857142508029938}, {""count"": 201, ""value"": 0.008571428246796131}]"
125,异常,统计单位等权,25873,211,1,0.001714285695925355,0.006000000052154064,0.01371428556740284,0.035999998450279236,0.09485714137554169,0.3708571493625641,0.9259999990463257,2053,0.9790515208905036,1,1,0,1.0,"[{""count"": 235, ""value"": 0.00800000037997961}, {""count"": 233, ""value"": 0.0071428571827709675}, {""count"": 220, ""value"": 0.008857143111526966}, {""count"": 213, ""value"": 0.010285714641213417}, {""count"": 208, ""value"": 0.009142857044935226}, {""count"": 204, ""value"": 0.009428570978343487}, {""count"": 203, ""value"": 0.009714285843074322}, {""count"": 202, ""value"": 0.009999999776482582}, {""count"": 202, ""value"": 0.010857142508029938}, {""count"": 201, ""value"": 0.008571428246796131}]"
125,忽略,有适用观测的帧等权,6821570,255,1,0.0011428571306169033,0.01600000075995922,0.04885714128613472,0.11485714465379715,0.25628572702407837,0.581428587436676,4.802285671234131,5477,0.9999382840020699,1,1,0,1.0,"[{""count"": 11305, ""value"": 0.018285714089870453}, {""count"": 11292, ""value"": 0.017999999225139618}, {""count"": 11278, ""value"": 0.017142856493592262}, {""count"": 11253, ""value"": 0.01971428655087948}, {""count"": 11222, ""value"": 0.018857141956686974}, {""count"": 11208, ""value"": 0.01914285682141781}, {""count"": 11207, ""value"": 0.019428571686148643}, {""count"": 11193, ""value"": 0.018571428954601288}, {""count"": 11156, ""value"": 0.020571429282426834}, {""count"": 11155, ""value"": 0.020285714417696}]"
125,忽略,统计单位等权,6821570,255,1,0.0011428571306169033,0.017142856493592262,0.05828571319580078,0.14000000059604645,0.32199999690055847,0.6157143115997314,4.802285671234131,5477,0.9999382840020699,1,1,0,1.0,"[{""count"": 11305, ""value"": 0.018285714089870453}, {""count"": 11292, ""value"": 0.017999999225139618}, {""count"": 11278, ""value"": 0.017142856493592262}, {""count"": 11253, ""value"": 0.01971428655087948}, {""count"": 11222, ""value"": 0.018857141956686974}, {""count"": 11208, ""value"": 0.01914285682141781}, {""count"": 11207, ""value"": 0.019428571686148643}, {""count"": 11193, ""value"": 0.018571428954601288}, {""count"": 11156, ""value"": 0.020571429282426834}, {""count"": 11155, ""value"": 0.020285714417696}]"
